MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindDir,WindSpeed,Humidity,Pressure,Cloud,Weather
8,24.3,0,3.4,6.3,SW,16,50,1019.7,7,cloudy
14,26.9,3.6,4.4,9.7,E,14,50,1012.4,5,haze
13.7,23.4,3.6,5.8,3.3,N,6,45,1009.5,8,rainy
13.3,15.5,39.8,7.2,9.1,NW,26,58,1005.5,2,rainy
7.6,16.1,2.8,5.6,10.6,SE,26,60,1018.3,7,haze
6.2,16.9,0,5.8,8.2,SE,22,60,1023.8,7,cloudy
6.1,18.2,0.2,4.2,8.4,SE,22,55,1024.6,4,cloudy
8.3,17,0,5.6,4.6,SE,17,60,1026.2,6,cloudy
8.8,19.5,0,4,4.1,E,18,57,1026.1,7,cloudy
8.4,22.8,16.2,5.4,7.7,S,6,55,1024.1,7,rainy
9.1,25.2,0,4.2,11.9,SE,7,45,1024.4,1,clear
8.5,27.3,0.2,7.2,12.5,E,9,54,1023.8,0,clear
10.1,27.9,0,7.2,13,S,6,55,1022,0,clear
12.1,30.9,0,6.2,12.4,NW,13,60,1017.3,1,clear
10.1,31.2,0,8.8,13.1,S,13,45,1018.2,0,clear
12.4,32.1,0,8.4,11.1,SE,7,70,1017.9,0,clear
13.8,31.2,0,7.2,8.4,SW,15,72,1014.4,7,cloudy
11.7,30,1.2,7.2,10.1,SW,9,59,1016.4,1,clear
12.4,32.3,0.6,7.4,13,NE,10,60,1017.1,1,clear
15.6,33.4,0,8,10.4,NW,7,61,1018.5,0,clear
15.3,33.4,0,8.8,9.5,N,20,60,1012.4,1,clear
16.4,19.4,0.4,9.2,0,NE,8,88,1010.7,8,cloudy
12.8,18.5,25.8,2.8,0.6,S,13,91,1014,8,rainy
12,24.3,0.4,1.2,7.5,SE,7,74,1020.7,7,cloudy
15.4,28.4,0,4.4,8.1,SE,12,85,1022.4,8,cloudy
15.6,26.9,0,6.8,8.9,E,14,65,1019.7,2,clear
13.3,22.2,0.2,6.6,2.3,E,18,70,1021,7,cloudy
12.9,28,0,4.4,10.7,S,8,61,1019.2,5,cloudy
15.1,24.3,0,7,0.4,SE,14,69,1019,7,cloudy
13.6,24.1,0.4,2.6,0.5,SW,6,83,1017.2,8,cloudy
15.1,20.4,22.6,2.4,0.2,E,13,82,1015,8,rainy
11.6,26.3,4.2,1.6,12,E,7,66,1013.9,2,haze
16.6,24.2,0.2,6.6,4.7,NW,25,72,1007.9,7,cloudy
13.3,26.5,6.6,3.8,11.8,NW,22,74,1007.3,5,rainy
14.5,21.8,0,8.4,9.8,SE,20,69,1015,7,cloudy
16.3,26.8,0,6,6.3,SE,11,78,1018.8,8,cloudy
17.2,25.8,0,4.2,8.8,NW,6,70,1014.5,6,cloudy
16.5,28.2,4,4.2,8.8,E,10,76,1014.8,8,rainy
15,29.4,0,6.6,11.1,N,17,78,1010.8,7,clear
14.9,24.8,0,10.4,10,NE,8,58,1011.7,7,clear
11.8,18.5,0.6,4.8,2.3,SE,12,60,1018,8,cloudy
11.7,21.5,0,4.2,7.3,SE,20,66,1021.1,7,cloudy
9.6,20.3,0,5,3.6,SE,21,70,1021.9,7,cloudy
8.9,27.1,0,4.4,12.7,NW,8,63,1018.1,1,clear
10.1,29.9,0,6.8,8.8,SE,11,63,1012.6,1,clear
15.5,21.1,5.4,6.4,0.9,SE,6,93,1010.1,8,rainy
10.8,21.7,1.4,2.8,10.6,SE,17,59,1017.6,1,haze
7.5,20.9,0,6.6,8.7,SE,17,61,1020.6,6,cloudy
12.8,21,0,6.4,0.8,NE,7,72,1018,8,cloudy
12.6,23.1,3.4,1.6,2.3,N,7,97,1015.8,8,rainy
14.8,29.5,6.4,1.8,8.1,NW,15,81,1012.9,2,haze
19.9,22,11,4.4,5.9,N,35,92,996.5,8,rainy
9.2,20.4,17.4,7.8,10.2,N,15,59,1009.5,1,haze
12.4,24.4,0,6.2,12.1,NW,10,69,1012.8,6,cloudy
11.3,21.7,3.4,8.2,5.6,SE,11,67,1020.4,8,rainy
9.8,26.3,0,5.2,13,W,15,63,1023.2,1,clear
14.3,26.7,0,7.2,7.1,N,40,68,1017.3,7,cloudy
15.1,28.3,14.4,8.8,13.2,NW,10,73,1016.8,1,haze
14.4,31.6,0,6.6,13.6,NW,6,65,1017.1,0,clear
15.4,35,0,9.6,13,SW,15,55,1017.4,1,clear
13.8,33.5,0,11.4,13.6,SE,8,44,1019.2,0,clear
13.6,34.2,0,8.8,12.8,SE,9,50,1015.8,7,cloudy
14.3,35,0,7.6,10.5,SE,7,43,1012.6,0,clear
15.9,23.4,0,12.6,2.2,SE,22,69,1016.8,8,cloudy
16.7,25.3,0,6.2,12.5,SE,24,56,1016.2,6,cloudy
12.1,27.5,0,7.4,11.7,SE,11,69,1011.8,7,cloudy
14.3,34.1,0,6.6,10.5,W,15,77,1006.6,1,clear
16.5,33.9,0,9,12.6,E,11,60,1012.3,1,clear
16.5,30.3,0,10,8.1,E,8,77,1015.7,7,cloudy
17.5,29.9,0,6.6,8.8,E,12,74,1018.5,8,cloudy
